a/c (Interpolado),m (Curva)
0.34104,2.9999999998781846
0.35198,3.0416460982542617
0.36292,3.1238249743919937
0.37386,3.236236601526741
0.38480000000000003,3.3702156014107345
0.39574,3.518576195415733
0.40668000000000004,3.6754639762387455
0.41762,3.836214500196263
0.42856,3.99721870011939
0.4395,4.15579511884124
0.45044,4.310068963281253
0.46138,4.458857979124502
0.47232,4.60156514609929
0.48326,4.738078193842455
0.4942,4.868675938374679
0.50514,4.993941439151683
0.51608,5.114681976731106
0.52702,5.23185585102118
0.53796,5.346506000129182
0.5488999999999999,5.459700439807136
0.55984,5.572479523491154
0.5707800000000001,5.685810022936437
0.58172,5.800546029450459
0.59266,5.917396675715452
0.6036,6.036900678214295
0.6145400000000001,6.159407700245026
0.62548,6.285066535538988
0.63642,6.413820112465771
0.6473599999999999,6.545407318833611
0.6583,6.679371647302958
0.6692400000000001,6.815076661368437
0.68018,6.9517282819505795
0.69112,7.088403894596411
0.70206,7.224088277247063
0.7130000000000001,7.357716348615838
0.72394,7.488222737179001
0.73488,7.614598170720853
0.74582,7.7359526865163275
0.75676,7.851585662079685
0.7677,7.961062666534588
0.77864,8.06429913254982
0.78958,8.161650848882289
0.80052,8.254011273550702
0.8114600000000001,8.342915667536715
0.8224,8.430652049139724
0.83334,8.520378968907778
0.84428,8.616250105132337
0.85522,8.723545680027598
0.86616,8.848810696375892
0.8771,8.999999994888128
